language,category,question,option1,option2,option3,option4,correct
sk,vida,V ktorom roku sa narodil svätý Josemaría?,1902,1928,1898,1910,1
sk,vida,V ktorom meste sa narodil?,Barbastro,Madrid,Zaragoza,Logroño,1
sk,vida,Ako sa volali jeho rodičia?,José a Dolores,Juan a María,Francisco a Carmen,Santiago a Josefa,1
sk,vida,"Kam ho matka vzala, aby sa poďakovala za jeho uzdravenie v detstve?",Torreciudad,El Pilar,Fatima,Lurdy,1
sk,vida,Ako sa volal jeho mladší brat?,Santiago,Juan,Luis,Francisco,1
sk,vida,"Čo videl v Logroñe, čo ho priviedlo k myšlienke, že Boh od neho niečo chce?",Stopy karmelitána v snehu,Svetlo v kostole,Žobráka prosiaceho o pomoc,Videnie anjelov,1
sk,vida,Kde slávil svoju prvú omšu?,V bazilike Pilar v Zaragoze,V Barbastre,V Madride,V Ríme,1
sk,vida,V ktorý deň prijal svetlo založiť Dielo?,2. októbra,14. februára,26. júna,9. januára,1
sk,vida,Koho učil svätý Josemaría katechizmus v prvých rokoch v Madride?,Chudobné deti,Univerzitných študentov,Kňazov,Vojakov,1
sk,vida,V ktorý deň zomrel v Ríme?,26. júna 1975,2. októbra 1928,9. januára 1902,14. februára 1930,1
sk,vida,Kde dnes odpočívajú jeho telesné pozostatky?,Panna Mária Pokoja v Ríme,Katedrála Almudena,Bazilika svätého Petra,Katedrála v Zaragoze,1
sk,vida,Ktorý pápež ho vyhlásil za svätého?,Ján Pavol II.,Ján XXIII.,Pavol VI.,Benedikt XVI.,1
sk,vida,V ktorom roku bol kanonizovaný?,2002,1975,1992,2010,1
sk,vida,Čo je jadrom charizmy Opus Dei?,Svätosť uprostred sveta,Život v kláštore,Iba ústna modlitba,Odísť na vzdialené misie,1
sk,vida,Čo podľa jeho posolstva znamená byť dobrým kresťanom?,Robiť veci z lásky k Bohu,Iba chodiť na omšu,Byť veľmi vážny,Vedieť veľa teológie,1
sk,escritos,"Aká bola prvá kniha, ktorú svätý Josemaría vydal?",Svätý ruženec,Cesta,Vyhňa,Boží priatelia,1
sk,escritos,Ktorá kniha svätého Josemaríu obsahuje 999 bodov na rozjímanie?,Cesta,Brázda,Vyhňa,Krížová cesta,1
sk,escritos,Ktorá trilógia krátkych kníh zhromažďuje body na osobnú modlitbu?,"Cesta, Brázda a Vyhňa","Rozhovory, Cesta a Svätý ruženec","Boží priatelia, Brázda a Krížová cesta","Vyhňa, Ísť s Kristom a Milovať Cirkev",1
sk,escritos,Ktoré dielo komentuje tajomstvá ruženca?,Svätý ruženec,Cesta,Vyhňa,Rozhovory,1
sk,escritos,Ktorá kniha zhromažďuje homílie o sviatkoch a liturgických obdobiach?,Ísť s Kristom,Cesta,Abatyša z Las Huelgas,Svätý ruženec,1
sk,escritos,Ktorá kniha zhromažďuje homílie pre bežný kresťanský život?,Boží priatelia,Brázda,Krížová cesta,Rozhovory,1
sk,escritos,Ktoré dielo prináša rozhovory so svätým Josemaríom o Opus Dei a Cirkvi?,Rozhovory,Vyhňa,Cesta,Svätý ruženec,1
sk,escritos,Ktorá kniha svätého Josemaríu pozýva rozjímať nad zastaveniami Pánovho umučenia?,Krížová cesta,Brázda,Boží priatelia,Ísť s Kristom,1
sk,escritos,Ktorý známy výraz sa objavuje na začiatku knihy Cesta?,Nech tvoj život nie je neplodný,Všetky cesty zeme,Oživ Boží dar,Muž stáleho úsmevu,1
sk,escritos,Ktorá téma je ústredná v mnohých spisoch svätého Josemaríu?,Posväcovanie obyčajnej práce,Útek zo sveta,Politika ako hlavný cieľ,Osobná sláva,1
sk,escritos,Ktorá kniha vznikla z duchovných poznámok a úvah písaných počas rokov?,Cesta,Abatyša z Las Huelgas,Milovať Cirkev,Rozhovory,1
sk,escritos,Ktoré dielo sa osobitne venuje láske k Cirkvi?,Milovať Cirkev,Vyhňa,Svätý ruženec,Brázda,1
sk,escritos,Ktorá kniha bola vydaná posmrtne a patrí do trilógie s Cestou a Brázdou?,Vyhňa,Svätý ruženec,Rozhovory,Abatyša z Las Huelgas,1
sk,escritos,Aké historické výskumné dielo napísal svätý Josemaría?,Abatyša z Las Huelgas,Cesta,Brázda,Krížová cesta,1
sk,escritos,"Na čo sú určené najmä body v knihách Cesta, Brázda a Vyhňa?",Na modlitbu a spytovanie života,Na štúdium stredovekých dejín,Na učenie hudby,Na usporiadanie knižnice,1
sk,centenario,V ktorý deň je podpísané posolstvo preláta o Ceste k storočnici?,19. marca 2026,2. októbra 2028,14. februára 2030,10. júna 2021,1
sk,centenario,Pri príležitosti ktorého sviatku bolo posolstvo uverejnené?,Sviatku svätého Jozefa,Sviatku svätého Josemaríu,Vianoc,Nanebovzatia,1
sk,centenario,Ako podľa posolstva nazýval svätý Josemaría svätého Jozefa?,Môj otec a pán,Môj učiteľ a kráľ,Môj verný priateľ,Môj vzdialený ochranca,1
sk,centenario,Ktorá veta svätého Josemaríu sprevádza cestu k storočnici?,Všetko je hotové a všetko treba ešte urobiť,Duc in altum,Ora et labora,Pokoj a dobro,1
sk,centenario,Aké obdobie bude zahŕňať oslava storočnice?,Od 2. októbra 2028 do 14. februára 2030,Od 19. marca 2026 do 26. júna 2027,Iba 2. októbra 2028,Celý rok 2026,1
sk,centenario,Čo vyjadruje toto päťstové dňové obdobie?,"Jednotu žien a mužov, laikov a kňazov",Zmenu sídla,Akademický kongres,Koniec misie,1
sk,centenario,Aká bola téma posledných regionálnych zhromaždení?,Cesta k storočnici,Dejiny Ríma,Rodinné hospodárstvo,Kresťanské umenie,1
sk,centenario,Ktoré tri oblasti silno zazneli v príspevkoch?,"Rodina, práca a formácia","Šport, štúdium a oddych","Liturgia, hudba a architektúra","Cesty, kultúra a ekonomika",1
sk,centenario,Ako chce posolstvo hľadieť na minulosť a budúcnosť?,"S vďačnosťou, pokorným skúmaním a nádejou",S nostalgiou a strachom,S ľahostajnosťou,S náhlením a zabudnutím,1
sk,centenario,Čí príklad navrhuje rozjímať pri duchovnej príprave?,Prvých kresťanov,Stredovekých kráľov,Gréckych filozofov,Objaviteľov,1
sk,centenario,Ktorú myšlienku navrhuje prehĺbiť od 2. októbra 2026 do 2. októbra 2027?,Byť kontemplatívni uprostred sveta,Žiť ďaleko od práce,Zmeniť povolanie,Študovať iba staré dokumenty,1
sk,centenario,Ktoré učenie navrhuje mať viac na pamäti do začiatku storočnice?,Priateľstvo a dôvernosť,Súťaž a úspech,Úplné ticho,Stála improvizácia,1
sk,centenario,O čom nás pozýva rozjímať od 2. októbra 2028 do 14. februára 2030?,O práci zo sekulárnosti,O mníšskom živote,O dejinách umenia,O organizovaní ciest,1
sk,centenario,Ktorá veta zhŕňa učenie svätého Josemaríu o práci?,"Posväcovať prácu, posväcovať sa prácou, posväcovať druhých prácou",Pracovať iba z povinnosti,Vyhýbať sa malým úlohám,Oddeľovať vieru od každodenného života,1
sk,centenario,Akú zbraň podľa posolstva máme od začiatku Diela?,Modlitbu,Reklamu,Silu,Diskusiu,1
sl,vida,Katerega leta se je rodil sveti Jožefmarija?,1902,1928,1898,1910,1
sl,vida,V katerem mestu se je rodil?,Barbastro,Madrid,Zaragoza,Logroño,1
sl,vida,Kako sta se imenovala njegova starša?,José in Dolores,Juan in María,Francisco in Carmen,Santiago in Josefa,1
sl,vida,"Kam ga je mati peljala, da bi se zahvalila za njegovo ozdravitev v otroštvu?",Torreciudad,El Pilar,Fatima,Lurd,1
sl,vida,Kako je ime njegovemu mlajšemu bratu?,Santiago,Juan,Luis,Francisco,1
sl,vida,"Kaj je videl v Logroñu, zaradi česar je pomislil, da Bog od njega nekaj želi?",Sledi karmeličana v snegu,Luč v cerkvi,"Berača, ki prosi",Videnje angelov,1
sl,vida,Kje je daroval svojo prvo mašo?,V baziliki Pilar v Zaragozi,V Barbastru,V Madridu,V Rimu,1
sl,vida,Katerega dne je prejel navdih za ustanovitev Dela?,2. oktobra,14. februarja,26. junija,9. januarja,1
sl,vida,Komu je sveti Jožefmarija v prvih letih v Madridu poučeval katekizem?,Revnim otrokom,Univerzitetnim študentom,Duhovnikom,Vojakom,1
sl,vida,Katerega dne je umrl v Rimu?,26. junija 1975,2. oktobra 1928,9. januarja 1902,14. februarja 1930,1
sl,vida,Kje danes počivajo njegovi posmrtni ostanki?,Sveta Marija miru v Rimu,Katedrala Almudena,Bazilika svetega Petra,Katedrala v Zaragozi,1
sl,vida,Kateri papež ga je razglasil za svetnika?,Janez Pavel II.,Janez XXIII.,Pavel VI.,Benedikt XVI.,1
sl,vida,Katerega leta je bil kanoniziran?,2002,1975,1992,2010,1
sl,vida,Kaj je jedro karizme Opus Dei?,Svetost sredi sveta,Življenje v samostanu,Samo ustna molitev,Odhod na oddaljene misijone,1
sl,vida,Kaj po njegovem sporočilu pomeni biti dober kristjan?,Delati stvari iz ljubezni do Boga,Samo hoditi k maši,Biti zelo resen,Veliko vedeti o teologiji,1
sl,escritos,"Katera je bila prva knjiga, ki jo je objavil sveti Jožefmarija?",Sveti rožni venec,Pot,Kovačnica,Božji prijatelji,1
sl,escritos,Katera knjiga svetega Jožefmarija vsebuje 999 točk za premišljevanje?,Pot,Brazda,Kovačnica,Križev pot,1
sl,escritos,Katera trilogija kratkih knjig zbira točke za osebno molitev?,"Pot, Brazda in Kovačnica","Pogovori, Pot in Sveti rožni venec","Božji prijatelji, Brazda in Križev pot","Kovačnica, Jezus prihaja mimo in Ljubiti Cerkev",1
sl,escritos,Katero delo razlaga skrivnosti rožnega venca?,Sveti rožni venec,Pot,Kovačnica,Pogovori,1
sl,escritos,Katera knjiga zbira homilije o praznikih in liturgičnih časih?,Jezus prihaja mimo,Pot,Opatinja iz Las Huelgas,Sveti rožni venec,1
sl,escritos,Katera knjiga zbira homilije za običajno krščansko življenje?,Božji prijatelji,Brazda,Križev pot,Pogovori,1
sl,escritos,Katero delo prinaša intervjuje s svetim Jožefmarijem o Opus Dei in Cerkvi?,Pogovori,Kovačnica,Pot,Sveti rožni venec,1
sl,escritos,Katera knjiga svetega Jožefmarija vabi k premišljevanju postaj Gospodovega trpljenja?,Križev pot,Brazda,Božji prijatelji,Jezus prihaja mimo,1
sl,escritos,Kateri znani izraz se pojavi na začetku Poti?,Naj tvoje življenje ne bo nerodovitno,Vse poti zemlje,Poživi Božji dar,Mož stalnega nasmeha,1
sl,escritos,Katera tema je osrednja v mnogih spisih svetega Jožefmarija?,Posvečevanje običajnega dela,Umaknitev iz sveta,Politika kot glavni cilj,Osebna slava,1
sl,escritos,"Katera knjiga je nastala iz duhovnih zapiskov in premišljevanj, pisanih skozi leta?",Pot,Opatinja iz Las Huelgas,Ljubiti Cerkev,Pogovori,1
sl,escritos,Katero delo se posebej posveča ljubezni do Cerkve?,Ljubiti Cerkev,Kovačnica,Sveti rožni venec,Brazda,1
sl,escritos,Katera knjiga je bila izdana posmrtno in spada v trilogijo s Potjo in Brazdo?,Kovačnica,Sveti rožni venec,Pogovori,Opatinja iz Las Huelgas,1
sl,escritos,Katero zgodovinsko raziskovalno delo je napisal sveti Jožefmarija?,Opatinja iz Las Huelgas,Pot,Brazda,Križev pot,1
sl,escritos,"Čemu so namenjene predvsem točke v knjigah Pot, Brazda in Kovačnica?",Moliti in presojati življenje,Študirati srednjeveško zgodovino,Učiti se glasbe,Urediti knjižnico,1
sl,centenario,Katerega dne je podpisano sporočilo prelata o Poti do stoletnice?,19. marca 2026,2. oktobra 2028,14. februarja 2030,10. junija 2021,1
sl,centenario,Ob katerem prazniku je bilo sporočilo objavljeno?,Ob prazniku svetega Jožefa,Ob prazniku svetega Jožefmarija,Ob božiču,Ob vnebovzetju,1
sl,centenario,Kako je po sporočilu sveti Jožefmarija imenoval svetega Jožefa?,Moj oče in gospod,Moj učitelj in kralj,Moj zvesti prijatelj,Moj oddaljeni varuh,1
sl,centenario,Kateri stavek svetega Jožefmarija vodi pot do stoletnice?,Vse je narejeno in vse je še treba narediti,Duc in altum,Ora et labora,Mir in dobro,1
sl,centenario,Katero obdobje bo zajemalo praznovanje stoletnice?,Od 2. oktobra 2028 do 14. februarja 2030,Od 19. marca 2026 do 26. junija 2027,Samo 2. oktober 2028,Vse leto 2026,1
sl,centenario,Kaj izraža to obdobje petsto dni?,"Edinost žensk in moških, laikov in duhovnikov",Spremembo sedeža,Akademski kongres,Konec poslanstva,1
sl,centenario,Katera je bila tema zadnjih regionalnih zborovanj?,Pot do stoletnice,Zgodovina Rima,Družinska ekonomija,Krščanska umetnost,1
sl,centenario,Katera tri področja so posebej močno odmevala v prispevkih?,"Družina, delo in formacija","Šport, študij in počitek","Liturgija, glasba in arhitektura","Potovanja, kultura in ekonomija",1
sl,centenario,Kako želi sporočilo gledati na preteklost in prihodnost?,"S hvaležnostjo, ponižnim izpraševanjem in upanjem",Z nostalgijo in strahom,Z brezbrižnostjo,Z naglico in pozabo,1
sl,centenario,Čigav zgled predlaga za premišljevanje pri duhovni pripravi?,Prvih kristjanov,Srednjeveških kraljev,Grških filozofov,Raziskovalcev,1
sl,centenario,Katero misel predlaga poglobiti od 2. oktobra 2026 do 2. oktobra 2027?,Biti kontemplativni sredi sveta,Živeti daleč od dela,Spremeniti poklicanost,Študirati samo stare dokumente,1
sl,centenario,"Kateri nauk predlaga, naj bo bolj navzoč do začetka stoletnice?",Prijateljstvo in zaupnost,Tekmovanje in uspeh,Popolna tišina,Stalna improvizacija,1
sl,centenario,O čem smo povabljeni premišljevati od 2. oktobra 2028 do 14. februarja 2030?,O delu iz sekularnosti,O meniškem življenju,O zgodovini umetnosti,O organiziranju potovanj,1
sl,centenario,Kateri stavek povzema nauk svetega Jožefmarija o delu?,"Posvečevati delo, posvečevati se z delom, posvečevati druge z delom",Delati samo iz dolžnosti,Izogibati se majhnim nalogam,Ločevati vero od vsakdanjega življenja,1
sl,centenario,Katero orožje po sporočilu imamo od začetka Dela?,Molitev,Oglaševanje,Silo,Razpravo,1
ptBR,vida,Em que ano São Josemaria nasceu?,1902,1928,1898,1910,1
ptBR,vida,Em que cidade nasceu?,Barbastro,Madri,Zaragoza,Logroño,1
ptBR,vida,Como se chamavam seus pais?,José e Dolores,João e María,Francisco e Carmen,Santiago e Josefa,1
ptBR,vida,Para onde sua mãe o levou para agradecer sua recuperação quando ele era criança?,Torreciudad,El Pilar,Fátima,Lourdes,1
ptBR,vida,Qual era o nome de seu irmão mais novo?,Santiago,João,Luis,Francisco,1
ptBR,vida,O que ele viu em Logroño que o levou a pensar que Deus lhe pedia algo?,As pegadas de um carmelita na neve,Uma luz na igreja,Um mendigo pedindo ajuda,Uma visão de anjos,1
ptBR,vida,Onde celebrou sua primeira missa?,No Pilar de Zaragoza,Em Barbastro,Em Madri,Em Roma,1
ptBR,vida,Em que data recebeu a inspiração para fundar a Obra?,2 de outubro,14 de fevereiro,26 de junho,9 de janeiro,1
ptBR,vida,A quem São Josemaria dava catequese nos primeiros anos em Madri?,A crianças pobres,A universitários,A sacerdotes,A militares,1
ptBR,vida,Em que data faleceu em Roma?,26 de junho de 1975,2 de outubro de 1928,9 de janeiro de 1902,14 de fevereiro de 1930,1
ptBR,vida,Onde repousam atualmente seus restos mortais?,"Santa Maria da Paz, em Roma",Catedral da Almudena,"Basílica de São Pedro, em Roma",Catedral de Zaragoza,1
ptBR,vida,Qual Papa o declarou santo?,João Paulo II,João XXIII,Paulo VI,Bento XVI,1
ptBR,vida,Em que ano foi canonizado?,2002,1975,1992,2010,1
ptBR,vida,Qual é a essência do carisma do Opus Dei?,A santidade no meio do mundo,Viver em um convento,Fazer apenas oração vocal,Ir para missões distantes,1
ptBR,vida,"Segundo a mensagem de São Josemaria, o que significa ser um bom cristão?",Fazer as coisas por amor a Deus,Ir apenas à missa,Ser muito sério,Saber muita teologia,1
ptBR,escritos,Qual foi o primeiro livro publicado por São Josemaria?,Santo Rosário,Caminho,Forja,Amigos de Deus,1
ptBR,escritos,Que livro de São Josemaria contém 999 pontos de meditação?,Caminho,Sulco,Forja,Via Sacra,1
